offLNm,offFNm,teamAbbr,teamLoc,teamRslt,teamFTA,teamFTM,teamFT%,opptAbbr,opptConf,opptLoc,opptRslt,opptFTA,opptFTM,opptFT%
Jones,David,BOS,Home,Loss,21,17,0.8095,MIL,East,Away,Win,12,11,0.9167
Palmer,Violet,BOS,Home,Loss,21,17,0.8095,MIL,East,Away,Win,12,11,0.9167
Spooner,Bill,BOS,Home,Loss,21,17,0.8095,MIL,East,Away,Win,12,11,0.9167
Kirkland,Courtney,CHI,Away,Win,30,23,0.7667,CLE,East,Home,Loss,27,14,0.5185
McCutchen,Monty,CHI,Away,Win,30,23,0.7667,CLE,East,Home,Loss,27,14,0.5185
Holtkamp,Lauren,CHI,Away,Win,30,23,0.7667,CLE,East,Home,Loss,27,14,0.5185
Kirkland,Courtney,CLE,Home,Loss,27,14,0.5185,CHI,East,Away,Win,30,23,0.7667
McCutchen,Monty,CLE,Home,Loss,27,14,0.5185,CHI,East,Away,Win,30,23,0.7667
Holtkamp,Lauren,CLE,Home,Loss,27,14,0.5185,CHI,East,Away,Win,30,23,0.7667
Malloy,Ed,HOU,Away,Win,29,25,0.8621,ATL,East,Home,Loss,17,15,0.8824
Wright,Sean,HOU,Away,Win,29,25,0.8621,ATL,East,Home,Loss,17,15,0.8824
Barnaky,Brent,HOU,Away,Win,29,25,0.8621,ATL,East,Home,Loss,17,15,0.8824
Malloy,Ed,ATL,Home,Loss,17,15,0.8824,HOU,West,Away,Win,29,25,0.8621
Wright,Sean,ATL,Home,Loss,17,15,0.8824,HOU,West,Away,Win,29,25,0.8621
Barnaky,Brent,ATL,Home,Loss,17,15,0.8824,HOU,West,Away,Win,29,25,0.8621
Smith,Michael,MIA,Away,Loss,13,11,0.8462,NY,East,Home,Win,15,13,0.8667
Stafford,Derrick,MIA,Away,Loss,13,11,0.8462,NY,East,Home,Win,15,13,0.8667
Buchert,Nick,MIA,Away,Loss,13,11,0.8462,NY,East,Home,Win,15,13,0.8667
Smith,Michael,NY,Home,Win,15,13,0.8667,MIA,East,Away,Loss,13,11,0.8462
Stafford,Derrick,NY,Home,Win,15,13,0.8667,MIA,East,Away,Loss,13,11,0.8462
Buchert,Nick,NY,Home,Win,15,13,0.8667,MIA,East,Away,Loss,13,11,0.8462
Wall,Scott,UTA,Away,Loss,12,6,0.5,NO,West,Home,Win,14,9,0.6429
Phillips,Jason,UTA,Away,Loss,12,6,0.5,NO,West,Home,Win,14,9,0.6429
Brown,Tony,UTA,Away,Loss,12,6,0.5,NO,West,Home,Win,14,9,0.6429
Wall,Scott,NO,Home,Win,14,9,0.6429,UTA,West,Away,Loss,12,6,0.5
Phillips,Jason,NO,Home,Win,14,9,0.6429,UTA,West,Away,Loss,12,6,0.5
Brown,Tony,NO,Home,Win,14,9,0.6429,UTA,West,Away,Loss,12,6,0.5
Corbin,Sean,SAC,Away,Loss,16,13,0.8125,MIN,West,Home,Win,36,26,0.7222
