"","ref","team","fouls"
"694","Ed Malloy","CHA",301
"695","Ed Malloy","CHI",456
"696","Ed Malloy","CLE",504
"697","Ed Malloy","DAL",512
"698","Ed Malloy","DEN",635
"699","Ed Malloy","DET",452
"700","Ed Malloy","GS",559
"701","Ed Malloy","HOU",491
"702","Ed Malloy","IND",417
"703","Ed Malloy","LAC",476
"704","Ed Malloy","LAL",463
"705","Ed Malloy","MEM",542
"706","Ed Malloy","MIA",512
"707","Ed Malloy","MIL",619
"708","Ed Malloy","MIN",529
"709","Ed Malloy","NO",360
"710","Ed Malloy","NY",540
"711","Ed Malloy","OKC",569
"712","Ed Malloy","ORL",318
"713","Ed Malloy","PHI",595
"714","Ed Malloy","PHO",415
"715","Ed Malloy","POR",415
"716","Ed Malloy","SA",460
"717","Ed Malloy","SAC",439
"718","Ed Malloy","TOR",541
"719","Ed Malloy","UTA",602
"720","Ed Malloy","WAS",364
"721","Eddie Rush","ATL",31
"722","Eddie Rush","BKN",88
"723","Eddie Rush","BOS",44
"724","Eddie Rush","CHA",118
"725","Eddie Rush","CHI",80
"726","Eddie Rush","CLE",45
"727","Eddie Rush","DAL",81
"728","Eddie Rush","DEN",35
"729","Eddie Rush","DET",85
"730","Eddie Rush","GS",19
"731","Eddie Rush","HOU",45
"732","Eddie Rush","IND",63
"733","Eddie Rush","LAC",0
"734","Eddie Rush","LAL",0
"735","Eddie Rush","MEM",84
"736","Eddie Rush","MIA",17
"737","Eddie Rush","MIL",83
"738","Eddie Rush","MIN",74
"739","Eddie Rush","NO",73
"740","Eddie Rush","NY",15
"741","Eddie Rush","OKC",35
"742","Eddie Rush","ORL",69
"743","Eddie Rush","PHI",88
"744","Eddie Rush","PHO",46
"745","Eddie Rush","POR",38
"746","Eddie Rush","SA",57
"747","Eddie Rush","SAC",15
"748","Eddie Rush","TOR",44
"749","Eddie Rush","UTA",24
"750","Eddie Rush","WAS",86
"751","Eli Roe","ATL",269
"752","Eli Roe","BKN",238
"753","Eli Roe","BOS",357
"754","Eli Roe","CHA",325
"755","Eli Roe","CHI",406
"756","Eli Roe","CLE",252
"757","Eli Roe","DAL",290
"758","Eli Roe","DEN",265
"759","Eli Roe","DET",334
"760","Eli Roe","GS",244
"761","Eli Roe","HOU",337
"762","Eli Roe","IND",291
"763","Eli Roe","LAC",337
"764","Eli Roe","LAL",257
"765","Eli Roe","MEM",209
